CandleTime,UtcTime,Signal,ProdTrade,SkipReason,Classification
1779864600,2026-05-27 06:50 UTC,short,yes,,aligned
1779864900,2026-05-27 06:55 UTC,short,yes,,aligned
1779865200,2026-05-27 07:00 UTC,,,no_signal,no_signal
1779865500,2026-05-27 07:05 UTC,short,yes,,aligned
1779865800,2026-05-27 07:10 UTC,,,no_signal,no_signal
1779866100,2026-05-27 07:15 UTC,,,no_signal,no_signal
1779866400,2026-05-27 07:20 UTC,,,no_signal,no_signal
1779866700,2026-05-27 07:25 UTC,short,,entry_price_out_of_range,execution_skip
1779867000,2026-05-27 07:30 UTC,short,yes,,aligned
1779867300,2026-05-27 07:35 UTC,short,yes,,aligned
1779867600,2026-05-27 07:40 UTC,short,yes,,aligned
1779867900,2026-05-27 07:45 UTC,short,yes,,aligned
1779868200,2026-05-27 07:50 UTC,short,yes,,aligned
1779868500,2026-05-27 07:55 UTC,short,yes,,aligned
1779868800,2026-05-27 08:00 UTC,short,,entry_price_out_of_range,execution_skip
1779869100,2026-05-27 08:05 UTC,short,yes,,aligned
1779869400,2026-05-27 08:10 UTC,short,yes,,aligned
1779869700,2026-05-27 08:15 UTC,short,yes,,aligned
1779870000,2026-05-27 08:20 UTC,,,no_signal,no_signal
1779870300,2026-05-27 08:25 UTC,short,yes,,aligned
1779870600,2026-05-27 08:30 UTC,short,yes,,aligned
1779870900,2026-05-27 08:35 UTC,short,,entry_price_out_of_range,execution_skip
1779871200,2026-05-27 08:40 UTC,short,,entry_price_out_of_range,execution_skip
1779871500,2026-05-27 08:45 UTC,short,yes,,aligned
1779871800,2026-05-27 08:50 UTC,short,yes,,aligned
1779872100,2026-05-27 08:55 UTC,,,no_signal,no_signal
1779872400,2026-05-27 09:00 UTC,,,no_signal,no_signal
1779872700,2026-05-27 09:05 UTC,,,no_signal,no_signal
1779873000,2026-05-27 09:10 UTC,,,no_signal,no_signal
1779873300,2026-05-27 09:15 UTC,,,,no_signal
1779873600,2026-05-27 09:20 UTC,,,no_signal,no_signal
1779873900,2026-05-27 09:25 UTC,,,no_signal,no_signal
1779874200,2026-05-27 09:30 UTC,,,no_signal,no_signal
1779874500,2026-05-27 09:35 UTC,,,no_signal,no_signal
1779874800,2026-05-27 09:40 UTC,short,,entry_price_out_of_range,execution_skip
1779875100,2026-05-27 09:45 UTC,,,no_signal,no_signal
1779875400,2026-05-27 09:50 UTC,,,no_signal,no_signal
1779875700,2026-05-27 09:55 UTC,,,,no_signal
1779876000,2026-05-27 10:00 UTC,,,,no_signal
1779876300,2026-05-27 10:05 UTC,,,no_signal,no_signal
1779876600,2026-05-27 10:10 UTC,,,no_signal,no_signal
1779876900,2026-05-27 10:15 UTC,,,no_signal,no_signal
1779877200,2026-05-27 10:20 UTC,short,yes,,aligned
1779877500,2026-05-27 10:25 UTC,short,yes,,aligned
1779877800,2026-05-27 10:30 UTC,short,yes,,aligned
1779878100,2026-05-27 10:35 UTC,,,no_signal,no_signal
1779878400,2026-05-27 10:40 UTC,,,no_signal,no_signal
1779878700,2026-05-27 10:45 UTC,,,no_signal,no_signal
1779879000,2026-05-27 10:50 UTC,,,no_signal,no_signal
1779879300,2026-05-27 10:55 UTC,,,,no_signal
1779879600,2026-05-27 11:00 UTC,,,no_signal,no_signal
1779879900,2026-05-27 11:05 UTC,,,no_signal,no_signal
1779880200,2026-05-27 11:10 UTC,,,no_signal,no_signal
1779880500,2026-05-27 11:15 UTC,,,no_signal,no_signal
1779880800,2026-05-27 11:20 UTC,,,no_signal,no_signal
1779881100,2026-05-27 11:25 UTC,short,yes,,aligned
1779881400,2026-05-27 11:30 UTC,,,no_signal,no_signal
1779881700,2026-05-27 11:35 UTC,long,,entry_price_out_of_range,execution_skip
1779882000,2026-05-27 11:40 UTC,,,no_signal,no_signal
1779882300,2026-05-27 11:45 UTC,long,yes,,aligned
1779882600,2026-05-27 11:50 UTC,long,,entry_price_out_of_range,execution_skip
1779882900,2026-05-27 11:55 UTC,long,yes,,aligned
1779883200,2026-05-27 12:00 UTC,long,,entry_price_out_of_range,execution_skip
1779883500,2026-05-27 12:05 UTC,long,yes,,aligned
1779883800,2026-05-27 12:10 UTC,long,yes,,aligned
1779884100,2026-05-27 12:15 UTC,long,,entry_price_out_of_range,execution_skip
1779884400,2026-05-27 12:20 UTC,,,no_signal,no_signal
1779884700,2026-05-27 12:25 UTC,,,no_signal,no_signal
1779885000,2026-05-27 12:30 UTC,,,no_signal,no_signal
1779885300,2026-05-27 12:35 UTC,,,,no_signal
1779885600,2026-05-27 12:40 UTC,,,no_signal,no_signal
1779885900,2026-05-27 12:45 UTC,,,no_signal,no_signal
1779886200,2026-05-27 12:50 UTC,,,no_signal,no_signal
1779886500,2026-05-27 12:55 UTC,,,no_signal,no_signal
1779886800,2026-05-27 13:00 UTC,long,,entry_price_out_of_range,execution_skip
1779887100,2026-05-27 13:05 UTC,long,yes,,aligned
1779887400,2026-05-27 13:10 UTC,long,,entry_price_out_of_range,execution_skip
1779887700,2026-05-27 13:15 UTC,long,yes,,aligned
1779888000,2026-05-27 13:20 UTC,long,yes,,aligned
1779888300,2026-05-27 13:25 UTC,long,yes,,aligned
1779888600,2026-05-27 13:30 UTC,long,yes,,aligned
1779888900,2026-05-27 13:35 UTC,long,,entry_price_out_of_range,execution_skip
1779889200,2026-05-27 13:40 UTC,long,yes,,aligned
1779889500,2026-05-27 13:45 UTC,long,yes,,aligned
1779889800,2026-05-27 13:50 UTC,long,yes,,aligned
1779890100,2026-05-27 13:55 UTC,long,yes,,aligned
1779890400,2026-05-27 14:00 UTC,long,,entry_price_out_of_range,execution_skip
1779890700,2026-05-27 14:05 UTC,long,yes,,aligned
1779891000,2026-05-27 14:10 UTC,long,yes,,aligned
1779891300,2026-05-27 14:15 UTC,long,,entry_price_out_of_range,execution_skip
1779891600,2026-05-27 14:20 UTC,,,no_signal,no_signal
1779891900,2026-05-27 14:25 UTC,long,,entry_price_out_of_range,execution_skip
1779892200,2026-05-27 14:30 UTC,long,,entry_price_out_of_range,execution_skip
1779892500,2026-05-27 14:35 UTC,long,yes,,aligned
1779892800,2026-05-27 14:40 UTC,,,no_signal,no_signal
1779893100,2026-05-27 14:45 UTC,,,no_signal,no_signal
1779893400,2026-05-27 14:50 UTC,,,no_signal,no_signal
1779893700,2026-05-27 14:55 UTC,,,no_signal,no_signal
1779894000,2026-05-27 15:00 UTC,,,no_signal,no_signal
1779894300,2026-05-27 15:05 UTC,,,no_signal,no_signal
1779894600,2026-05-27 15:10 UTC,,,no_signal,no_signal
1779894900,2026-05-27 15:15 UTC,,,no_signal,no_signal
1779895200,2026-05-27 15:20 UTC,,,no_signal,no_signal
1779895500,2026-05-27 15:25 UTC,,,no_signal,no_signal
1779895800,2026-05-27 15:30 UTC,,,no_signal,no_signal
1779896100,2026-05-27 15:35 UTC,,,no_signal,no_signal
1779896400,2026-05-27 15:40 UTC,,,no_signal,no_signal
1779896700,2026-05-27 15:45 UTC,,,no_signal,no_signal
1779897000,2026-05-27 15:50 UTC,,,no_signal,no_signal
1779897300,2026-05-27 15:55 UTC,,,no_signal,no_signal
1779897600,2026-05-27 16:00 UTC,,,no_signal,no_signal
1779897900,2026-05-27 16:05 UTC,,,no_signal,no_signal
1779898200,2026-05-27 16:10 UTC,,,no_signal,no_signal
