Id,CandleTime,UtcTime,Side,Trend,EntryPrice,StakeUsd,PnlUsd_prod,Won_prod,Signal_side,Signal_match,Open,Close,Won_candle,Pnl_bt_A,Pnl_bt_C,Pnl_at_0.5,Entry_edge
356,1779870600,2026-05-27 08:30 UTC,Down,Short,0.5,4.37,4.37,1,short,yes,76048.53,76006.59,1,4.1039,4.37,4.37,0.0
357,1779871500,2026-05-27 08:45 UTC,Down,Short,0.46,4.439,-4.439,0,short,yes,75966.0,75972.36,0,-4.2914,-4.439,-4.439,0.0
358,1779871800,2026-05-27 08:50 UTC,Down,Short,0.44,4.3736,5.5664,1,short,yes,75972.37,75879.91,1,4.227,5.5664,4.3736,1.1928
359,1779877200,2026-05-27 10:20 UTC,Down,Short,0.5,4.455,-4.455,0,short,yes,75978.0,76006.58,0,-4.3548,-4.455,-4.455,0.0
360,1779877500,2026-05-27 10:25 UTC,Down,Short,0.5,4.39,4.39,1,short,yes,76006.58,76000.01,1,4.2894,4.39,4.39,0.0
361,1779877800,2026-05-27 10:30 UTC,Down,Short,0.49,4.3218,4.4982,1,short,yes,76000.0,75913.18,1,4.3538,4.4982,4.3218,0.1764
362,1779881100,2026-05-27 11:25 UTC,Down,Short,0.5,4.52,4.52,1,short,yes,76015.24,75916.11,1,4.4191,4.52,4.52,0.0
363,1779882300,2026-05-27 11:45 UTC,Up,Long,0.5,4.59,-4.59,0,long,yes,75834.85,75787.17,0,-4.5527,-4.59,-4.59,0.0
364,1779882900,2026-05-27 11:55 UTC,Up,Long,0.46,4.4494,5.2232,1,long,yes,75766.22,75769.18,1,4.4171,5.2232,4.4494,0.7738
365,1779883500,2026-05-27 12:05 UTC,Up,Long,0.5,4.53,-4.53,0,long,yes,75753.22,75681.66,0,-4.4161,-4.53,-4.53,0.0
366,1779883800,2026-05-27 12:10 UTC,Up,Long,0.5,4.465,-4.465,0,long,yes,75681.65,75626.3,0,-4.3499,-4.465,-4.465,0.0
367,1779887100,2026-05-27 13:05 UTC,Up,Long,0.51,4.3962,-4.3962,0,long,yes,75642.0,75508.98,0,-4.2837,-4.3962,-4.3962,0.0
368,1779887700,2026-05-27 13:15 UTC,Up,Long,0.5,4.33,4.33,1,long,yes,75440.56,75466.67,1,4.1561,4.33,4.33,0.0
369,1779888000,2026-05-27 13:20 UTC,Up,Long,0.5,4.265,-4.265,0,long,yes,75466.68,75372.01,0,-4.2185,-4.265,-4.265,0.0
370,1779888300,2026-05-27 13:25 UTC,Up,Long,0.38,4.332,-4.332,0,long,yes,75372.01,75200.01,0,-4.1552,-4.332,-4.332,0.0
371,1779888600,2026-05-27 13:30 UTC,Up,Long,0.5,4.265,4.265,1,long,yes,75200.01,75251.84,1,4.0928,4.265,4.265,0.0
372,1779889200,2026-05-27 13:40 UTC,Up,Long,0.47,4.2676,-4.2676,0,long,yes,74955.27,74928.5,0,-4.0919,-4.2676,-4.2676,0.0
373,1779889500,2026-05-27 13:45 UTC,Up,Long,0.45,4.203,-4.203,0,long,yes,74928.51,74925.23,0,-4.0305,-4.203,-4.203,0.0
374,1779889800,2026-05-27 13:50 UTC,Up,Long,0.5,4.075,4.075,1,long,yes,74925.24,74999.53,1,3.9701,4.075,4.075,0.0
375,1779890100,2026-05-27 13:55 UTC,Up,Long,0.46,4.0158,4.7142,1,long,yes,74999.53,75073.4,1,4.0296,4.7142,4.0158,0.6984
376,1779890700,2026-05-27 14:05 UTC,Up,Long,0.48,4.2096,-4.2096,0,long,yes,75218.76,75020.01,0,-4.1514,-4.2096,-4.2096,0.0
377,1779891000,2026-05-27 14:10 UTC,Up,Long,0.47,4.1454,-4.1454,0,long,yes,75020.0,75002.57,0,-4.0892,-4.1454,-4.1454,0.0
378,1779892500,2026-05-27 14:35 UTC,Up,Long,0.49,4.0817,4.2483,1,long,yes,75013.29,75086.01,1,4.0873,4.2483,4.0817,0.1666
379,1779902100,2026-05-27 17:15 UTC,Up,Long,0.43,4.1452,-4.1452,0,long,yes,74968.26,74964.77,0,-4.1486,-4.1452,-4.1452,0.0
380,1779903900,2026-05-27 17:45 UTC,Up,Long,0.5,4.085,4.085,1,long,yes,74908.0,74934.01,1,4.1477,4.085,4.085,0.0
381,1779904200,2026-05-27 17:50 UTC,Up,Long,0.49,4.0229,-4.0229,0,long,yes,74934.0,74897.09,0,-4.2099,-4.0229,-4.0229,0.0
382,1779904500,2026-05-27 17:55 UTC,Up,Long,0.48,4.0848,-4.0848,0,long,yes,74897.09,74860.42,0,-4.1468,-4.0848,-4.0848,0.0
383,1779904800,2026-05-27 18:00 UTC,Up,Long,0.37,4.0243,6.8522,1,long,yes,74860.42,74867.13,1,4.0846,6.8522,4.0243,2.8279
384,1779905100,2026-05-27 18:05 UTC,Up,Long,0.49,3.9641,-3.9641,0,long,yes,74867.12,74783.66,0,-4.1458,-3.9641,-3.9641,0.0
385,1779905700,2026-05-27 18:15 UTC,Up,Long,0.5,4.07,4.07,1,long,yes,74738.0,74840.0,1,4.0224,4.07,4.07,0.0
386,1779906000,2026-05-27 18:20 UTC,Up,Long,0.43,4.0076,5.3124,1,long,yes,74840.0,74866.3,1,4.0827,5.3124,4.0076,1.3048
387,1779906300,2026-05-27 18:25 UTC,Up,Long,0.48,4.0704,4.4096,1,long,yes,74866.3,74903.5,1,4.144,4.4096,4.0704,0.3392
388,1779912300,2026-05-27 20:05 UTC,Down,Short,0.5,4.275,-4.275,0,short,yes,75173.29,75271.99,0,-4.2061,-4.275,-4.275,0.0
389,1779912900,2026-05-27 20:15 UTC,Down,Short,0.5,4.21,-4.21,0,short,yes,75309.32,75403.34,0,-4.0809,-4.21,-4.21,0.0
390,1779913200,2026-05-27 20:20 UTC,Down,Short,0.5,4.145,4.145,1,short,yes,75403.33,75300.57,1,4.0197,4.145,4.145,0.0
391,1779913500,2026-05-27 20:25 UTC,Down,Short,0.5,4.085,4.085,1,short,yes,75300.57,75282.0,1,4.08,4.085,4.085,0.0
392,1779913800,2026-05-27 20:30 UTC,Down,Short,0.49,4.1503,4.3197,1,short,yes,75282.01,75238.46,1,4.1412,4.3197,4.1503,0.1694
393,1779914100,2026-05-27 20:35 UTC,Down,Short,0.47,4.2045,-4.2045,0,short,yes,75238.45,75242.61,0,-4.2033,-4.2045,-4.2045,0.0
394,1779914400,2026-05-27 20:40 UTC,Down,Short,0.5,4.27,-4.27,0,short,yes,75242.62,75252.0,0,-4.1402,-4.27,-4.27,0.0
395,1779914700,2026-05-27 20:45 UTC,Down,Short,0.46,4.209,-4.209,0,short,yes,75252.01,75290.22,0,-4.0781,-4.209,-4.209,0.0
396,1779915300,2026-05-27 20:55 UTC,Down,Short,0.46,4.1446,-4.1446,0,short,yes,75247.99,75274.58,0,-4.0772,-4.1446,-4.1446,0.0
397,1779918000,2026-05-27 21:40 UTC,Up,Long,0.5,4.085,-4.085,0,long,yes,74877.83,74628.0,0,-4.0763,-4.085,-4.085,0.0
398,1779918300,2026-05-27 21:45 UTC,Up,Long,0.5,4.055,-4.055,0,long,yes,74628.01,74496.45,0,-4.0152,-4.055,-4.055,0.0
399,1779918600,2026-05-27 21:50 UTC,Up,Long,0.5,3.995,-3.995,0,long,yes,74496.45,74375.64,0,-3.9549,-3.995,-3.995,0.0
400,1779918900,2026-05-27 21:55 UTC,Up,Long,0.5,3.935,3.935,1,long,yes,74375.64,74473.01,1,3.8956,3.935,3.935,0.0
401,1779919200,2026-05-27 22:00 UTC,Up,Long,0.49,3.8759,4.0341,1,long,yes,74473.01,74664.0,1,3.954,4.0341,3.8759,0.1582
402,1779919800,2026-05-27 22:10 UTC,Up,Long,0.44,4.0568,-4.0568,0,long,yes,74547.5,74402.67,0,-3.9532,-4.0568,-4.0568,0.0
403,1779920100,2026-05-27 22:15 UTC,Up,Long,0.48,3.9936,4.3264,1,long,yes,74402.67,74502.7,1,3.8939,4.3264,3.9936,0.3328
404,1779920400,2026-05-27 22:20 UTC,Up,Long,0.5,3.935,3.935,1,long,yes,74502.7,74534.58,1,3.9523,3.935,3.935,0.0
405,1779920700,2026-05-27 22:25 UTC,Up,Long,0.5,4.0,4.0,1,long,yes,74534.58,74606.0,1,4.0115,4.0,4.0,0.0
406,1779921000,2026-05-27 22:30 UTC,Up,Long,0.43,4.0592,5.3808,1,long,yes,74606.0,74608.01,1,4.0717,5.3808,4.0592,1.3216
407,1779922800,2026-05-27 23:00 UTC,Up,Long,0.33,4.2603,8.6497,1,long,yes,74418.12,74464.34,1,4.0708,8.6497,4.2603,4.3894
408,1779923100,2026-05-27 23:05 UTC,Up,Long,0.5,4.13,-4.13,0,long,yes,74464.34,74436.0,0,-4.1319,-4.13,-4.13,0.0
409,1779923400,2026-05-27 23:10 UTC,Up,Long,0.48,4.4448,4.8152,1,long,yes,74436.0,74455.14,1,4.0699,4.8152,4.4448,0.3704
410,1779924300,2026-05-27 23:25 UTC,Up,Long,0.48,4.5168,-4.5168,0,long,yes,74329.46,74297.14,0,-4.1929,-4.5168,-4.5168,0.0
411,1779924900,2026-05-27 23:35 UTC,Up,Long,0.47,4.4509,5.0191,1,long,yes,74314.0,74325.72,1,4.192,5.0191,4.4509,0.5682
412,1779925200,2026-05-27 23:40 UTC,Up,Long,0.5,4.385,4.385,1,long,yes,74325.72,74377.66,1,4.2548,4.385,4.385,0.0
413,1779925500,2026-05-27 23:45 UTC,Up,Long,0.46,4.4574,5.2326,1,long,yes,74377.66,74488.0,1,4.3187,5.2326,4.4574,0.7752
414,1779931800,2026-05-28 01:30 UTC,Up,Long,0.49,4.7089,4.9011,1,long,yes,74286.46,74354.89,1,4.3834,4.9011,4.7089,0.1922
415,1779932100,2026-05-28 01:35 UTC,Up,Long,0.49,4.6403,-4.6403,0,long,yes,74354.9,74295.95,0,-4.4492,-4.6403,-4.6403,0.0
416,1779932400,2026-05-28 01:40 UTC,Up,Long,0.5,4.715,-4.715,0,long,yes,74295.95,74271.67,0,-4.3825,-4.715,-4.715,0.0
417,1779932700,2026-05-28 01:45 UTC,Up,Long,0.49,4.6452,4.8348,1,long,yes,74271.67,74364.01,1,4.3167,4.8348,4.6452,0.1896
418,1779933000,2026-05-28 01:50 UTC,Up,Long,0.5,4.575,-4.575,0,long,yes,74364.0,74304.0,0,-4.3815,-4.575,-4.575,0.0
419,1779933300,2026-05-28 01:55 UTC,Up,Long,0.5,4.645,4.645,1,long,yes,74304.01,74344.08,1,4.3157,4.645,4.645,0.0
420,1779933900,2026-05-28 02:05 UTC,Up,Long,0.5,4.715,4.715,1,long,yes,74262.0,74332.5,1,4.3148,4.715,4.715,0.0
421,1779934200,2026-05-28 02:10 UTC,Up,Long,0.5,4.645,4.645,1,long,yes,74332.51,74365.28,1,4.3795,4.645,4.645,0.0
422,1779934800,2026-05-28 02:20 UTC,Up,Long,0.49,4.8559,-4.8559,0,long,yes,74282.29,74222.53,0,-4.4452,-4.8559,-4.8559,0.0
423,1779935700,2026-05-28 02:35 UTC,Up,Long,0.5,4.785,4.785,1,long,yes,74224.52,74272.78,1,4.3775,4.785,4.785,0.0
424,1779936000,2026-05-28 02:40 UTC,Up,Long,0.5,4.715,-4.715,0,long,yes,74272.78,74264.74,0,-4.4432,-4.715,-4.715,0.0
425,1779936300,2026-05-28 02:45 UTC,Up,Long,0.49,4.7873,4.9827,1,long,yes,74264.74,74361.98,1,4.3765,4.9827,4.7873,0.1954
426,1779937800,2026-05-28 03:10 UTC,Up,Long,0.49,4.8608,-4.8608,0,long,yes,74259.27,74212.0,0,-4.4422,-4.8608,-4.8608,0.0
427,1779938700,2026-05-28 03:25 UTC,Up,Long,0.49,4.7873,-4.7873,0,long,yes,73938.59,73746.57,0,-4.3746,-4.7873,-4.7873,0.0
428,1779939000,2026-05-28 03:30 UTC,Up,Long,0.5,4.715,-4.715,0,long,yes,73746.58,73678.42,0,-4.309,-4.715,-4.715,0.0
429,1779939300,2026-05-28 03:35 UTC,Up,Long,0.49,4.6452,-4.6452,0,long,yes,73678.43,73481.72,0,-4.2443,-4.6452,-4.6452,0.0
430,1779940200,2026-05-28 03:50 UTC,Up,Long,0.5,4.575,-4.575,0,long,yes,73410.0,73230.98,0,-4.0562,-4.575,-4.575,0.0
